SECT DEPTH,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,Imp,FP,Name,Hole,Number
20.100000381469727,1.208,2,20.1,8.473,0.0002,1209.91,1.2606,6.927,1525.263,0.8511,1001-1-A-1-2,A,2.0
20.600000381469727,1.213,2,20.6,8.473,0.0002,1205.263,1.2613,6.9538,1520.15,0.8507,1001-1-A-1-2,A,2.0
21.100000381469727,1.218,2,21.1,8.469,0.0002,1207.787,1.2843,6.8378,1551.219,0.8375,1001-1-A-1-2,A,2.0
21.600000381469727,1.223,2,21.6,8.468,0.0002,1208.851,1.261,6.9669,1524.341,0.8509,1001-1-A-1-2,A,2.0
22.100000381469727,1.228,2,22.1,8.473,0.0002,1212.681,1.2313,7.0922,1493.143,0.8678,1001-1-A-1-2,A,2.0
22.600000381469727,1.233,2,22.6,8.473,0.0002,1213.375,1.2077,7.1622,1465.419,0.8813,1001-1-A-1-2,A,2.0
23.100000381469727,1.238,2,23.1,8.471,0.0002,1214.132,1.2885,6.6488,1564.387,0.8352,1001-1-A-1-2,A,2.0
23.600000381469727,1.243,2,23.6,8.474,0.0002,1214.91,1.2909,6.5658,1568.338,0.8338,1001-1-A-1-2,A,2.0
24.100000381469727,1.248,2,24.1,8.468,0.0002,1219.295,1.2449,6.7861,1517.936,0.86,1001-1-A-1-2,A,2.0
24.600000381469727,1.253,2,24.6,8.469,0.0002,1222.431,1.2406,6.7407,1516.596,0.8625,1001-1-A-1-2,A,2.0
25.100000381469727,1.258,2,25.1,8.47,0.0002,1223.105,1.2512,6.651,1530.367,0.8564,1001-1-A-1-2,A,2.0
25.600000381469727,1.263,2,25.6,8.471,0.0002,1220.078,1.2739,6.4956,1554.253,0.8435,1001-1-A-1-2,A,2.0
26.100000381469727,1.268,2,26.1,8.469,0.0002,1220.493,1.2878,6.4298,1571.732,0.8356,1001-1-A-1-2,A,2.0
26.600000381469727,1.273,2,26.6,8.469,0.0002,1219.087,1.2902,6.3833,1572.861,0.8342,1001-1-A-1-2,A,2.0
27.100000381469727,1.278,2,27.1,8.469,0.0002,1212.976,1.2636,6.4521,1532.755,0.8494,1001-1-A-1-2,A,2.0
27.600000381469727,1.283,2,27.6,8.474,0.0002,1212.997,1.2274,6.5952,1488.876,0.87,1001-1-A-1-2,A,2.0
28.100000381469727,1.288,2,28.1,8.474,0.0003,1212.477,1.2715,6.302,1541.619,0.8449,1001-1-A-1-2,A,2.0
28.600000381469727,1.293,2,28.6,8.473,0.0003,1213.028,1.2593,6.3348,1527.551,0.8518,1001-1-A-1-2,A,2.0
29.100000381469727,1.298,2,29.1,8.472,0.0003,1210.632,1.2477,6.2938,1510.546,0.8584,1001-1-A-1-2,A,2.0
