SECT DEPTH,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,Imp,FP,Name,Hole,Number
0.10000000149011612,1.008,2,0.1,9.034,0.0001,1426.947,1.1938,4.5585,1703.507,0.8893,1001-1-B-1-2,B,2.0
0.6000000238418579,1.013,2,0.6,9.068,0.0,1331.18,1.3361,3.9288,1778.57,0.808,1001-1-B-1-2,B,2.0
1.100000023841858,1.018,2,1.1,9.1,0.0,1199.104,1.4296,3.6617,1714.284,0.7545,1001-1-B-1-2,B,2.0
1.600000023841858,1.023,2,1.6,9.182,0.0,1224.92,1.4185,3.7399,1737.562,0.7609,1001-1-B-1-2,B,2.0
2.0999999046325684,1.028,2,2.1,9.223,0.0,1691.362,1.4211,3.8289,2403.54,0.7594,1001-1-B-1-2,B,2.0
2.5999999046325684,1.033,2,2.6,9.23,0.0,1075.006,1.4196,3.9622,1526.125,0.7602,1001-1-B-1-2,B,2.0
3.0999999046325684,1.038,2,3.1,9.251,0.0,892.6952,1.4018,4.0586,1251.395,0.7704,1001-1-B-1-2,B,2.0
3.5999999046325684,1.043,2,3.6,9.236,0.0,944.7627,1.3748,4.1567,1298.896,0.7858,1001-1-B-1-2,B,2.0
4.099999904632568,1.048,2,4.1,9.153,0.0,1195.533,1.3701,4.3021,1638.024,0.7885,1001-1-B-1-2,B,2.0
4.599999904632568,1.053,2,4.6,9.052,0.0,1559.883,1.3438,4.4949,2096.239,0.8035,1001-1-B-1-2,B,2.0
5.099999904632568,1.058,2,5.1,8.972,0.0,1311.121,1.3143,4.6567,1723.171,0.8204,1001-1-B-1-2,B,2.0
5.599999904632568,1.063,2,5.6,8.936,0.0,1305.86,1.3126,4.6316,1714.034,0.8214,1001-1-B-1-2,B,2.0
6.099999904632568,1.068,2,6.1,8.934,0.0,920.7462,1.3187,4.5298,1214.188,0.8179,1001-1-B-1-2,B,2.0
6.599999904632568,1.073,2,6.6,8.862,0.0,913.3257,1.3352,4.4955,1219.506,0.8084,1001-1-B-1-2,B,2.0
7.099999904632568,1.078,2,7.1,8.736,0.0,1104.425,1.3568,4.548,1498.44,0.7961,1001-1-B-1-2,B,2.0
7.599999904632568,1.083,2,7.6,8.679,0.0,1248.597,1.3534,4.6388,1689.858,0.7981,1001-1-B-1-2,B,2.0
8.100000381469727,1.088,2,8.1,8.669,0.0,1244.83,1.3532,4.6545,1684.496,0.7982,1001-1-B-1-2,B,2.0
8.600000381469727,1.093,2,8.6,8.662,0.0,1103.439,1.3457,4.691,1484.888,0.8025,1001-1-B-1-2,B,2.0
9.100000381469727,1.098,2,9.1,8.653,0.0,1106.522,1.3555,4.7016,1499.841,0.7969,1001-1-B-1-2,B,2.0
9.600000381469727,1.103,2,9.6,8.652,0.0,1104.981,1.3515,4.7168,1493.407,0.7991,1001-1-B-1-2,B,2.0
10.100000381469727,1.108,2,10.1,8.663,0.0,1081.118,1.3459,4.7198,1455.07,0.8023,1001-1-B-1-2,B,2.0
10.600000381469727,1.113,2,10.6,8.678,0.0,1087.469,1.3425,4.7356,1459.904,0.8043,1001-1-B-1-2,B,2.0
11.100000381469727,1.118,2,11.1,8.672,0.0,1091.916,1.3507,4.7776,1474.806,0.7996,1001-1-B-1-2,B,2.0
11.600000381469727,1.123,2,11.6,8.656,0.0,1090.726,1.3457,4.9045,1467.769,0.8025,1001-1-B-1-2,B,2.0
12.100000381469727,1.128,2,12.1,8.648,0.0,1246.648,1.3416,5.0528,1672.481,0.8048,1001-1-B-1-2,B,2.0
12.600000381469727,1.133,2,12.6,8.643,0.0,1248.808,1.3172,5.0634,1644.971,0.8187,1001-1-B-1-2,B,2.0
13.100000381469727,1.138,2,13.1,8.634,0.0,1245.528,1.3364,4.7979,1664.562,0.8078,1001-1-B-1-2,B,2.0
13.600000381469727,1.143,2,13.6,8.627,0.0,1243.263,1.3392,4.6771,1665.001,0.8062,1001-1-B-1-2,B,2.0
14.100000381469727,1.148,2,14.1,8.622,0.0,1255.387,1.323,4.6553,1660.88,0.8154,1001-1-B-1-2,B,2.0
14.600000381469727,1.153,2,14.6,8.617,0.0,1265.159,1.3283,4.585,1680.514,0.8124,1001-1-B-1-2,B,2.0
15.100000381469727,1.158,2,15.1,8.595,0.0,1260.819,1.3446,4.53,1695.347,0.8031,1001-1-B-1-2,B,2.0
15.600000381469727,1.163,2,15.6,8.578,0.0001,1262.213,1.3167,4.6519,1661.927,0.819,1001-1-B-1-2,B,2.0
16.100000381469727,1.168,2,16.1,8.575,0.0001,1270.559,1.302,4.709,1654.259,0.8274,1001-1-B-1-2,B,2.0
16.600000381469727,1.173,2,16.6,8.575,0.0001,1275.662,1.278,4.7973,1630.321,0.8411,1001-1-B-1-2,B,2.0
17.100000381469727,1.178,2,17.1,8.575,0.0001,1274.146,1.3038,4.7308,1661.193,0.8264,1001-1-B-1-2,B,2.0
17.600000381469727,1.183,2,17.6,8.578,0.0001,1266.873,1.28,4.8761,1621.628,0.84,1001-1-B-1-2,B,2.0
18.100000381469727,1.188,2,18.1,8.578,0.0001,1261.285,1.2774,4.8859,1611.228,0.8415,1001-1-B-1-2,B,2.0
18.600000381469727,1.193,2,18.6,8.576,0.0,1258.585,1.2851,4.8648,1617.401,0.8371,1001-1-B-1-2,B,2.0
19.100000381469727,1.198,2,19.1,8.576,0.0,1256.189,1.2414,5.0013,1559.488,0.862,1001-1-B-1-2,B,2.0
19.600000381469727,1.203,2,19.6,8.573,0.0,1255.381,1.2542,4.9552,1574.526,0.8547,1001-1-B-1-2,B,2.0
20.100000381469727,1.208,2,20.1,8.577,0.0,1255.599,1.3105,4.7364,1645.406,0.8226,1001-1-B-1-2,B,2.0
20.600000381469727,1.213,2,20.6,8.576,0.0001,1251.971,1.3095,4.7694,1639.464,0.8231,1001-1-B-1-2,B,2.0
21.100000381469727,1.218,2,21.1,8.577,0.0,1255.967,1.2933,4.8324,1624.328,0.8324,1001-1-B-1-2,B,2.0
21.600000381469727,1.223,2,21.6,8.581,0.0001,1259.319,1.3207,4.7258,1663.223,0.8167,1001-1-B-1-2,B,2.0
22.100000381469727,1.228,2,22.1,8.582,0.0001,1259.466,1.2958,4.8154,1631.966,0.831,1001-1-B-1-2,B,2.0
22.600000381469727,1.233,2,22.6,8.581,0.0001,1259.689,1.3119,4.7577,1652.577,0.8218,1001-1-B-1-2,B,2.0
23.100000381469727,1.238,2,23.1,8.582,0.0001,1262.244,1.318,4.7621,1663.579,0.8183,1001-1-B-1-2,B,2.0
23.600000381469727,1.243,2,23.6,8.582,0.0001,1263.731,1.2561,5.0308,1587.374,0.8537,1001-1-B-1-2,B,2.0
24.100000381469727,1.248,2,24.1,8.582,0.0,1261.131,1.2558,5.0319,1583.759,0.8538,1001-1-B-1-2,B,2.0
24.600000381469727,1.253,2,24.6,8.582,0.0,1257.804,1.2537,5.1038,1576.937,0.855,1001-1-B-1-2,B,2.0
25.100000381469727,1.258,2,25.1,8.582,0.0,1259.096,1.273,5.0603,1602.79,0.844,1001-1-B-1-2,B,2.0
25.600000381469727,1.263,2,25.6,8.583,0.0,1258.32,1.3012,4.977,1637.372,0.8279,1001-1-B-1-2,B,2.0
26.100000381469727,1.268,2,26.1,8.583,0.0001,1256.478,1.2895,5.0223,1620.209,0.8346,1001-1-B-1-2,B,2.0
26.600000381469727,1.273,2,26.6,8.583,0.0001,1258.32,1.2733,5.0235,1602.277,0.8438,1001-1-B-1-2,B,2.0
27.100000381469727,1.278,2,27.1,8.583,0.0001,1251.714,1.2674,5.0473,1586.361,0.8472,1001-1-B-1-2,B,2.0
27.600000381469727,1.283,2,27.6,8.583,0.0001,1252.079,1.2942,4.9426,1620.42,0.8319,1001-1-B-1-2,B,2.0
28.100000381469727,1.288,2,28.1,8.579,0.0001,1252.043,1.3032,4.915,1631.613,0.8268,1001-1-B-1-2,B,2.0
28.600000381469727,1.293,2,28.6,8.582,0.0001,1247.202,1.2845,5.015,1601.998,0.8374,1001-1-B-1-2,B,2.0
29.100000381469727,1.298,2,29.1,8.583,0.0001,1247.892,1.3069,4.8944,1630.902,0.8246,1001-1-B-1-2,B,2.0
29.600000381469727,1.303,2,29.6,8.578,0.0001,1249.345,1.3061,4.9382,1631.831,0.8251,1001-1-B-1-2,B,2.0
30.100000381469727,1.308,2,30.1,8.572,0.0001,1256.707,1.3199,4.9242,1658.733,0.8172,1001-1-B-1-2,B,2.0
30.600000381469727,1.313,2,30.6,8.572,0.0001,1265.053,1.3193,4.8985,1669.005,0.8175,1001-1-B-1-2,B,2.0
31.100000381469727,1.318,2,31.1,8.572,0.0001,1268.986,1.3136,4.9198,1666.926,0.8208,1001-1-B-1-2,B,2.0
31.600000381469727,1.323,2,31.6,8.569,0.0001,1267.229,1.3149,4.9149,1666.329,0.82,1001-1-B-1-2,B,2.0
32.099998474121094,1.328,2,32.1,8.573,0.0001,1266.696,1.324,4.8145,1677.133,0.8148,1001-1-B-1-2,B,2.0
32.599998474121094,1.333,2,32.6,8.573,0.0001,1266.696,1.3182,4.7473,1669.767,0.8182,1001-1-B-1-2,B,2.0
33.099998474121094,1.338,2,33.1,8.57,0.0001,1266.814,1.3234,4.7008,1676.498,0.8152,1001-1-B-1-2,B,2.0
33.599998474121094,1.343,2,33.6,8.568,0.0001,1267.831,1.3404,4.5844,1699.435,0.8055,1001-1-B-1-2,B,2.0
